,date,account_value
79,2018-04-26,965517.0652417163
80,2018-04-27,962566.7873873654
81,2018-04-30,967678.5348706741
82,2018-05-01,957341.6743108596
83,2018-05-02,942686.7232756157
84,2018-05-03,944205.9053245316
85,2018-05-04,960018.063541092
86,2018-05-07,964969.427291666
87,2018-05-08,964622.1340384388
88,2018-05-09,974779.0005773029
89,2018-05-10,980876.5804989758
90,2018-05-11,980351.6324498883
91,2018-05-14,982105.2079430122
92,2018-05-15,974886.9880707455
93,2018-05-16,975284.5735570163
94,2018-05-17,973774.9243176022
95,2018-05-18,973318.2698686047
96,2018-05-21,986145.8945307179
97,2018-05-22,977248.641808485
98,2018-05-23,982825.6958252278
99,2018-05-24,980882.5009946232
100,2018-05-25,981343.6861529828
101,2018-05-29,960086.2534438305
102,2018-05-30,972126.7490553875
103,2018-05-31,959869.3199536648
104,2018-06-01,967422.3595540371
105,2018-06-04,975106.9718605938
106,2018-06-05,972162.2620177135
107,2018-06-06,991440.8049842968
108,2018-06-07,1000193.9140922336
109,2018-06-08,1001229.4339065952
110,2018-06-11,999289.3692910385
111,2018-06-12,998200.0479969407
112,2018-06-13,993535.9670832825
113,2018-06-14,992860.5078929386
114,2018-06-15,988922.560375925
115,2018-06-18,984091.572918398
116,2018-06-19,969662.3582781926
117,2018-06-20,970286.7500424328
118,2018-06-21,961182.5699117718
119,2018-06-22,966527.3996868038
120,2018-06-25,946300.9023471241
121,2018-06-26,948156.7827182178
122,2018-06-27,937669.3973805103
123,2018-06-28,937077.3263290538
124,2018-06-29,936199.4488526249
125,2018-07-02,940491.6464150104
126,2018-07-03,933661.8053760662
127,2018-07-05,939779.9785933208
128,2018-07-06,946945.657606821
129,2018-07-09,961669.0250376606
130,2018-07-10,965620.6103547115
131,2018-07-11,958376.7658028279
132,2018-07-12,966790.681516016
133,2018-07-13,969199.5387651654
134,2018-07-16,979458.4093266696
135,2018-07-17,981846.6259560604
136,2018-07-18,984571.2872563077
137,2018-07-19,976887.6985903874
138,2018-07-20,979122.4200164013
139,2018-07-23,981279.0792279339
140,2018-07-24,986279.9015945415
141,2018-07-25,991171.3349925441
142,2018-07-26,991657.9584041805
143,2018-07-27,995385.0578881664
144,2018-07-30,989557.9332994976
145,2018-07-31,987570.8771250439
146,2018-08-01,982291.776753355
147,2018-08-02,978174.5507692929
148,2018-08-03,982298.7897585583
149,2018-08-06,982692.7307749463
150,2018-08-07,986539.3997988949
151,2018-08-08,987213.3250712566
152,2018-08-09,982883.8875328198
153,2018-08-10,975405.2111990376
154,2018-08-13,970198.1290647908
155,2018-08-14,979817.4534933491
156,2018-08-15,972535.3530676289
157,2018-08-16,991489.5243093892
158,2018-08-17,993225.238046877
159,2018-08-20,998533.6266920491
160,2018-08-21,1001493.8682768269
161,2018-08-22,997353.9558203145
162,2018-08-23,991710.7785894795
163,2018-08-24,994686.2804129048
164,2018-08-27,1007007.1803839131
165,2018-08-28,1006175.5363867207
166,2018-08-29,1008157.5026266499
167,2018-08-30,1001567.9171354695
168,2018-08-31,999355.7610647603
169,2018-09-04,1000468.9087202473
170,2018-09-05,1000426.4076826497
171,2018-09-06,1003190.5374472066
172,2018-09-07,1000486.8543722554
173,2018-09-10,996116.9499342366
174,2018-09-11,998595.5774023457
175,2018-09-12,1004724.0905058308
176,2018-09-13,1005565.4281332417
177,2018-09-14,1006713.0406935139
178,2018-09-17,998517.5764830037
179,2018-09-18,1006538.9879896565
180,2018-09-19,1016958.6878607197
181,2018-09-20,1027359.3059561177
182,2018-09-21,1036623.6873609944
183,2018-09-24,1025996.782766573
184,2018-09-25,1029019.111547701
185,2018-09-26,1024795.4022657796
186,2018-09-27,1028000.8938505574
187,2018-09-28,1028130.652235262
188,2018-10-01,1036317.1350691243
189,2018-10-02,1039142.8958151265
190,2018-10-03,1044499.817041628
191,2018-10-04,1042316.1854917927
192,2018-10-05,1036318.6174795552
193,2018-10-08,1037827.9817411824
194,2018-10-09,1037614.5588362141
195,2018-10-10,1006232.1928388997
196,2018-10-11,981948.3187987538
197,2018-10-12,992655.9574791088
198,2018-10-15,991289.6885303478
199,2018-10-16,1011297.1123546581
200,2018-10-17,1015757.8865563144
201,2018-10-18,1003829.6031243076
202,2018-10-19,1004827.2203118076
203,2018-10-22,999949.0616464253
204,2018-10-23,1006999.9703813572
205,2018-10-24,993822.4163664666
206,2018-10-25,1007585.2794722405
207,2018-10-26,997096.5581557675
208,2018-10-29,979159.1560714169
209,2018-10-30,1002596.8649260922
210,2018-10-31,1013844.5443274899
211,2018-11-01,1020259.4661414548
212,2018-11-02,1018185.5835540219
213,2018-11-05,1029603.8120086117
214,2018-11-06,1039526.8036200925
215,2018-11-07,1054881.0274360103
216,2018-11-08,1059892.46764826
217,2018-11-09,1052321.348496191
218,2018-11-12,1024084.1581199093
219,2018-11-13,1018023.3052565976
220,2018-11-14,1009141.9907920285
221,2018-11-15,1014109.2436606808
222,2018-11-16,1014822.3432204648
223,2018-11-19,996584.4913108273
224,2018-11-20,978008.8175094052
225,2018-11-21,977525.9486777707
226,2018-11-23,969353.7793471738
227,2018-11-26,985365.5686652585
228,2018-11-27,990356.4216658993
229,2018-11-28,1016653.125614874
230,2018-11-29,1021322.7567450925
231,2018-11-30,1026185.1409461423
232,2018-12-03,1036476.2542464657
233,2018-12-04,1004608.8312194272
234,2018-12-06,998506.3219497128
235,2018-12-07,976990.2728583737
236,2018-12-10,980834.2011725827
237,2018-12-11,973984.9084975644
238,2018-12-12,979528.5589797421
239,2018-12-13,982214.5299804135
240,2018-12-14,962839.1491477414
241,2018-12-17,945684.7635276242
242,2018-12-18,954122.7786186447
243,2018-12-19,940599.6580040684
244,2018-12-20,918377.105716013
245,2018-12-21,899020.3841164341
246,2018-12-24,874998.3952896824
247,2018-12-26,913802.495673441
248,2018-12-27,924315.0744774571
249,2018-12-28,920587.2284119359
250,2018-12-31,932806.4261467686
251,2019-01-02,935873.6605332127
252,2019-01-03,916122.670913004
253,2019-01-04,948558.8867218724
254,2019-01-07,955158.3873398533
255,2019-01-08,967216.044123911
256,2019-01-09,972167.2169525853
257,2019-01-10,981305.2449066868
258,2019-01-11,981459.0960304966
259,2019-01-14,977357.8566773167
260,2019-01-15,982205.0535118809
261,2019-01-16,990147.7876236668
262,2019-01-17,999720.800486826
263,2019-01-18,1011830.2572090855
264,2019-01-22,1003350.3931191197
265,2019-01-23,1009137.4990036717
266,2019-01-24,1011381.7039330235
267,2019-01-25,1015203.2213089695
268,2019-01-28,1011302.8863175145
269,2019-01-29,1010671.0936386815
270,2019-01-30,1030219.2621262303
271,2019-01-31,1020625.4267647496
272,2019-02-01,1021137.3154900303
273,2019-02-04,1030903.1585533848
274,2019-02-05,1040897.7516777745
275,2019-02-06,1038458.8767578831
276,2019-02-07,1029262.0796234837
277,2019-02-08,1025672.6732514134
278,2019-02-11,1024460.5846131077
279,2019-02-12,1035680.6134484044
280,2019-02-13,1039098.7950356236
281,2019-02-14,1039070.1587593785
282,2019-02-15,1061329.0691521396
283,2019-02-19,1060265.8096115817
284,2019-02-20,1063015.412280344
285,2019-02-21,1059841.501330637
286,2019-02-22,1066757.2887375583
287,2019-02-25,1072177.5585472812
288,2019-02-26,1073627.673911356
289,2019-02-27,1079784.7867157687
290,2019-02-28,1084065.9007790317
291,2019-03-01,1082574.6911843051
292,2019-03-04,1064886.9002297153
293,2019-03-05,1062200.6485550632
294,2019-03-06,1054683.7351029147
295,2019-03-07,1046137.6144821873
296,2019-03-08,1046411.6256020298
297,2019-03-11,1038757.3969605198
298,2019-03-12,1023615.7594139805
299,2019-03-13,1027788.226870798
300,2019-03-14,1028114.5245049229
301,2019-03-15,1040041.3501503697
302,2019-03-18,1036737.1673233738
303,2019-03-19,1035320.8027756443
304,2019-03-20,1031884.6713745823
305,2019-03-21,1034054.0080483189
306,2019-03-22,1016872.1533234349
307,2019-03-25,1019233.494426035
308,2019-03-26,1026409.9326889744
309,2019-03-27,1028196.9997093907
310,2019-03-28,1033790.8622963658
311,2019-03-29,1043143.8000290623
312,2019-04-01,1056296.8435814609
313,2019-04-02,1046167.2000191441
314,2019-04-03,1044039.6483528843
315,2019-04-04,1054403.1138718356
316,2019-04-05,1053584.9187767734
317,2019-04-08,1040639.0571205845
318,2019-04-09,1033689.0567085972
319,2019-04-10,1032519.70051124
320,2019-04-11,1035011.2103111973
321,2019-04-12,1055773.7163193454
322,2019-04-15,1048935.713538431
323,2019-04-16,1056751.3990319003
324,2019-04-17,1057356.1092903842
325,2019-04-18,1062592.1651337375
326,2019-04-22,1055389.096591257
327,2019-04-23,1057114.404605173
328,2019-04-24,1059901.3392288913
329,2019-04-25,1063382.365504526
330,2019-04-26,1064800.9816773166
331,2019-04-29,1068423.2951615085
332,2019-04-30,1068312.655360483
333,2019-05-01,1060035.8518555393
334,2019-05-02,1058564.1638252963
335,2019-05-03,1066707.0717575778
336,2019-05-06,1063561.5329773654
337,2019-05-07,1043579.2463982335
338,2019-05-08,1045182.2937042943
339,2019-05-09,1041190.116641306
340,2019-05-10,1046164.0027764073
341,2019-05-13,1019184.620181345
342,2019-05-14,1027248.1244995823
343,2019-05-15,1033041.8746254673
344,2019-05-16,1046326.4815056553
345,2019-05-17,1043962.8942978611
346,2019-05-20,1042128.2599175206
347,2019-05-21,1050621.8573258151
348,2019-05-22,1043901.7522118321
349,2019-05-23,1031150.12163093
350,2019-05-24,1035194.8350098362
351,2019-05-28,1029872.3159401646
352,2019-05-29,1021576.7568161717
353,2019-05-30,1025214.7539742222
354,2019-05-31,1011590.5945160618
355,2019-06-03,1010938.1664726963
356,2019-06-04,1029930.7409203282
357,2019-06-05,1034912.0208351841
358,2019-06-06,1043168.8771851292
359,2019-06-07,1052331.1295387973
360,2019-06-10,1051148.013137125
361,2019-06-11,1052483.38170936
362,2019-06-12,1048654.951342844
363,2019-06-13,1050639.1218865146
364,2019-06-14,1050021.5415566196
365,2019-06-17,1052828.798430704
