,date,account_value
250,2018-12-31,938839.3426018917
251,2019-01-02,936975.294646661
252,2019-01-03,916416.1718446972
253,2019-01-04,945160.0156011994
254,2019-01-07,945423.2204466278
255,2019-01-08,953929.791487735
256,2019-01-09,952940.8940039093
257,2019-01-10,959472.1375799591
258,2019-01-11,958693.0452833588
259,2019-01-14,953525.1565123016
260,2019-01-15,955016.3751478607
261,2019-01-16,950818.4302397186
262,2019-01-17,957042.3937750275
263,2019-01-18,969593.4807539398
264,2019-01-22,957360.5629606659
265,2019-01-23,972825.6375837738
266,2019-01-24,970931.0902084839
267,2019-01-25,973684.3281235229
268,2019-01-28,969679.5531125442
269,2019-01-29,976101.6939702408
270,2019-01-30,984188.6355178787
271,2019-01-31,991869.1749999191
272,2019-02-01,997149.3774311382
273,2019-02-04,1002573.1947567302
274,2019-02-05,1005003.4797069866
275,2019-02-06,1007248.442769231
276,2019-02-07,999102.650342168
277,2019-02-08,1000741.4226009266
278,2019-02-11,1000655.875985326
279,2019-02-12,1015719.3581325428
280,2019-02-13,1023383.6085216419
281,2019-02-14,1011908.0100719349
282,2019-02-15,1024691.5319873707
283,2019-02-19,1026400.1905719654
284,2019-02-20,1026418.1443263905
285,2019-02-21,1025138.3943187611
286,2019-02-22,1031795.9555446522
287,2019-02-25,1032659.7825405018
288,2019-02-26,1031667.3921634571
289,2019-02-27,1029424.3585216419
290,2019-02-28,1026986.001603307
291,2019-03-01,1031503.8690654652
292,2019-03-04,1030832.5221950428
293,2019-03-05,1026817.301388921
294,2019-03-06,1023757.140450658
295,2019-03-07,1014652.0083362476
296,2019-03-08,1013464.3005725758
297,2019-03-11,1029999.5219241993
298,2019-03-12,1031046.0001880543
299,2019-03-13,1036317.8852016346
300,2019-03-14,1034977.1499988453
301,2019-03-15,1038741.6694766895
302,2019-03-18,1037716.9227687733
303,2019-03-19,1038631.0412914173
304,2019-03-20,1033836.2489025013
305,2019-03-21,1040781.6768581287
306,2019-03-22,1027012.5178729908
307,2019-03-25,1024355.4095775501
308,2019-03-26,1038439.9547702686
309,2019-03-27,1036794.3942996876
310,2019-03-28,1041413.970856847
311,2019-03-29,1045412.97396964
312,2019-04-01,1054286.1778919117
313,2019-04-02,1048807.2394992725
314,2019-04-03,1049856.5124828236
315,2019-04-04,1052064.5417072193
316,2019-04-05,1054807.6567470448
317,2019-04-08,1057005.0050823109
318,2019-04-09,1051620.1644794361
319,2019-04-10,1052610.7693111317
320,2019-04-11,1054515.7306033985
321,2019-04-12,1072212.7975246327
322,2019-04-15,1073730.0646678822
323,2019-04-16,1078435.4910671131
324,2019-04-17,1078910.1460391895
325,2019-04-18,1085268.5927211659
326,2019-04-22,1083296.9368068592
327,2019-04-23,1088751.0235111134
328,2019-04-24,1087753.5068103687
329,2019-04-25,1056607.0433704273
330,2019-04-26,1061211.9730541126
331,2019-04-29,1055918.9257137196
332,2019-04-30,1060604.2708675282
333,2019-05-01,1052043.9488345997
334,2019-05-02,1047577.4682170765
335,2019-05-03,1054133.133469762
336,2019-05-06,1050997.9251720326
337,2019-05-07,1035358.9806339161
338,2019-05-08,1035522.5764324085
339,2019-05-09,1024764.774964513
340,2019-05-10,1030397.7735149281
341,2019-05-13,1014651.0692645924
342,2019-05-14,1020589.8780757801
343,2019-05-15,1025644.6504413502
344,2019-05-16,1030273.9738399403
345,2019-05-17,1023374.558873357
346,2019-05-20,1016885.4800960438
347,2019-05-21,1019160.0290500538
348,2019-05-22,1023334.8801586048
349,2019-05-23,1016038.4068653004
350,2019-05-24,1016261.2725383656
351,2019-05-28,1003189.8339435474
352,2019-05-29,990958.632714452
